Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
Groupe,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,17996,NA,17181,35177,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,14738,NA,14072,28810,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,15716,NA,15252,30969,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,16284,NA,16018,32303,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,17830,NA,17205,35035,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,18482,NA,18083,36565,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,16542,NA,16226,32768,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,14625,NA,14407,29031,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,13035,NA,13035,26070,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,10377,NA,9985,20362,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,8862,NA,8444,17305,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,7154,NA,6641,13795,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,4788,NA,4861,9649,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,4112,NA,4158,8270,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,3286,NA,3407,6694,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,1921,NA,2300,4221,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1059,NA,1245,2304,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,618,NA,957,1575,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,177,NA,159,335,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,187603,NA,183636,371239,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,,,8,dâ€™Ã¢ge,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,36021,NA,34763,70784,8,0-4 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,30832,NA,29568,60400,8,5-9 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,35931,NA,34714,70645,8,0-14 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,41319,NA,40375,81694,8,5-19 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,44701,NA,43855,88556,8,0-24 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,38773,NA,37954,76727,8,5-29 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,28901,NA,29108,58009,8,0-34 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,22757,NA,23052,45809,8,5-39 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,19834,NA,20238,40072,8,0-44 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,16960,NA,17385,34345,8,5-49 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14233,NA,13594,27827,8,50-54ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,11124,NA,10545,21669,8,5-59 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,6389,NA,6484,12873,8,0-64 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,6239,NA,6191,12431,8,5-69 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,5620,NA,5426,11046,8,0-74 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,3782,NA,3548,7330,8,5-79 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1661,NA,1614,3276,8,0-84 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1078,NA,1243,2321,8,ans &  +,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,146,NA,222,367,8,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,366301,NA,359879,726180,8,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA
